#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2457249.7982627186 	 1.0280000000 	 0.4100547414 	 5.4836900299 	 51.1486512296 	 597.8792767163 
2457249.7992928289 	 1.0290000000 	 0.4119585976 	 5.6618539952 	 51.2163148835 	 597.9525036784 
2457249.8332054452 	 1.0570000000 	 0.9235373663 	 5.4497878916 	 54.2996199669 	 597.9624744967 
2457249.8342355555 	 1.0580000000 	 0.9230476607 	 5.1787562707 	 52.1641391013 	 597.9672582414 
2457249.8352656653 	 1.0600000000 	 0.9212214611 	 5.3380472332 	 53.1605791486 	 598.0281663319 
2457249.8362957756 	 1.0610000000 	 0.9182927832 	 5.7806900675 	 57.1843459725 	 598.0303785757 
2457249.8373258854 	 1.0630000000 	 0.9146172878 	 5.5392931694 	 55.9812131235 	 598.0361514159 
2457249.8383444212 	 1.0640000000 	 0.9106445565 	 5.2857359542 	 57.3091960798 	 598.0723651352 
2457249.8393745315 	 1.0660000000 	 0.9068676767 	 5.6097433998 	 55.0179250763 	 598.1303093071 
2457249.8404046413 	 1.0670000000 	 0.9037446865 	 5.4929632277 	 56.8901608124 	 598.1254100776 
2457249.8414347512 	 1.0690000000 	 0.9016142824 	 6.0027522495 	 58.9963567489 	 598.0699834480 
2457249.8424648615 	 1.0710000000 	 0.9006293163 	 5.7678112128 	 56.3635277202 	 598.0558927576 
2457249.8434833973 	 1.0720000000 	 0.9007347262 	 5.9079270036 	 60.2553630504 	 598.0630455744 
2457249.8445135071 	 1.0740000000 	 0.9016968682 	 5.7969699474 	 59.0713317501 	 598.0564666514 
2457249.8455436169 	 1.0760000000 	 0.9031748549 	 5.8260774013 	 55.5789252918 	 598.0140792522 
2457249.8465621527 	 1.0780000000 	 0.9048009833 	 5.7197126759 	 61.3553512049 	 598.0726241601 
2457249.8475922626 	 1.0790000000 	 0.9062407647 	 5.5380705303 	 56.6100620898 	 598.0738716579 
2457249.8486339469 	 1.0810000000 	 0.9072111251 	 5.1019042658 	 61.1103946579 	 598.0585322299 
2457249.8496640567 	 1.0830000000 	 0.9074557029 	 5.7952066598 	 62.4308721594 	 598.0963597555 
2457249.8506941670 	 1.0850000000 	 0.9066996050 	 5.2182283062 	 54.3763628712 	 598.0225048988 
2457249.8517242768 	 1.0870000000 	 0.9046314014 	 5.2159256310 	 59.7632418492 	 598.0648971267 
2457249.8527543866 	 1.0890000000 	 0.9009561892 	 5.0805175730 	 60.3066903450 	 598.0710630063 
2457249.8537729224 	 1.0910000000 	 0.8955359488 	 5.2156387107 	 56.9210995731 	 598.1408360800 
2457249.8548030322 	 1.0930000000 	 0.8885701502 	 5.2031656878 	 61.6634143546 	 598.0899242247 
2457249.8558331421 	 1.0950000000 	 0.8807201771 	 5.3406155970 	 58.8427240048 	 597.9799046917 
2457249.8568516779 	 1.0970000000 	 0.8730818050 	 5.3053886168 	 60.8393059374 	 597.9581789937 
2457249.8578817877 	 1.1000000000 	 0.8669682430 	 5.5719640964 	 56.3646464664 	 598.0277297749 
2457249.8589118975 	 1.1020000000 	 0.8635615058 	 5.3413035242 	 56.5785318553 	 597.9486080478 
2457292.5436188993 	 1.2740000000 	 -0.1503152574 	 7.0186226674 	 1071.6383078963 	 603.0669968240 
2457292.5442438750 	 1.2710000000 	 -0.1433811065 	 7.0175351687 	 1066.3935640099 	 602.9746807559 
2457292.5448572771 	 1.2680000000 	 -0.1378759003 	 4.5948541462 	 1056.8732947831 	 603.1437531338 
